age,gender,sleep_hours,daily_steps,exercise_minutes_week,water_intake_liters,stress_level,nutrition_quality,screen_time_hours,wellbeing_score
36 to 50,Female,7,5,233,2.31,2,3,3,609.5
36 to 50,Female,8,5,73,2.78,3,2,2,655.6
36 to 50,Female,8,4,235,3.05,3,2,3,631.6
51 or more,Female,5,5,270,2.97,3,3,5,622.7
51 or more,Female,7,5,70,1.63,1,5,3,663.9
51 or more,Female,8,7,105,2.71,2,3,5,722.3
51 or more,Male,7,7,231,3.52,2,4,5,727.2
21 to 35,Female,6,8,124,3.51,4,3,8,676.2
21 to 35,Female,10,1,57,2.77,3,5,9,702.8
51 or more,Female,6,3,173,3.88,4,4,6,634.4
36 to 50,Female,8,7,88,3.57,4,2,9,610.1
21 to 35,Male,7,8,158,3.34,4,1,5,618.6
21 to 35,Male,8,6,30,2.79,2,2,6,686.4
36 to 50,Female,6,7,51,2.98,3,5,5,689.6
21 to 35,Female,8,2,255,2.06,3,3,7,639.7
51 or more,Female,6,8,233,2.83,3,3,8,720.4
21 to 35,Male,8,1,216,2.82,2,4,2,673.5
21 to 35,Male,8,10,56,2.01,2,4,6,707.6
36 to 50,Female,9,8,158,3.88,3,5,3,727.8
36 to 50,Male,8,1,124,2.11,1,3,6,687.1
21 to 35,Male,4,4,95,1.76,4,2,7,652.9
21 to 35,Female,7,3,206,2.67,5,3,2,668.6
36 to 50,Male,7,3,185,3.22,2,5,5,709.4
36 to 50,Male,7,7,48,1.99,2,2,2,752.7
36 to 50,Female,6,7,87,1.96,4,2,4,677.7
21 to 35,Male,7,8,227,2.15,5,1,2,633.9
21 to 35,Male,7,8,108,2.26,4,1,2,628.8
21 to 35,Female,7,5,70,2.12,4,2,8,692.8
36 to 50,Female,6,10,255,2.68,4,3,2,673.2
Less than 20,Female,7,4,290,1.55,2,4,3,673.9
21 to 35,Male,7,10,274,1.72,3,5,3,712.5
36 to 50,Female,8,3,52,3.32,1,3,8,692.6
36 to 50,Female,6,1,226,2.53,5,0,9,574.5
51 or more,Female,8,5,265,2.4,3,1,2,630.1
21 to 35,Male,7,10,155,1.53,2,4,4,746.5
21 to 35,Male,6,2,295,2.25,3,3,4,591.7
51 or more,Female,6,2,169,3.55,3,2,6,729.4
36 to 50,Female,8,10,156,2.35,5,2,9,593.7
51 or more,Male,6,7,143,3.91,1,4,2,682.8
51 or more,Female,9,3,42,2.47,3,5,6,723.4
21 to 35,Female,7,3,257,2.66,2,4,8,687.3
51 or more,Female,5,3,38,3.5,3,4,5,635.9
51 or more,Female,9,2,175,3.96,3,2,4,655.2
21 to 35,Male,7,7,192,2.43,2,3,9,652.4
36 to 50,Female,8,8,252,1.8,3,2,5,657.9
36 to 50,Female,5,10,245,2.81,5,3,8,686.6
51 or more,Female,6,10,198,2.98,3,5,5,732.7
21 to 35,Female,8,10,55,3.9,2,4,2,685.5
51 or more,Female,7,7,154,2.53,2,3,8,742.5
36 to 50,Female,8,2,279,1.73,3,2,4,663.5
21 to 35,Female,7,8,39,3.13,3,4,6,710.4
21 to 35,Female,8,10,134,1.55,5,3,5,658.3
36 to 50,Male,6,5,135,2.56,2,1,9,633.1
51 or more,Female,8,6,30,2.52,2,5,9,677.9
21 to 35,Female,6,1,211,2.14,2,4,2,640.8
Less than 20,Female,6,3,170,3.91,4,1,8,557.9
36 to 50,Female,8,5,259,2.51,2,4,3,669.2
36 to 50,Male,7,10,93,3.74,4,5,4,712.5
51 or more,Female,7,10,107,2.79,3,4,3,712.5
21 to 35,Male,10,1,261,3.55,5,0,8,571.9
21 to 35,Male,10,1,116,2.63,5,0,7,575.3
21 to 35,Female,7,8,212,3.98,3,4,6,678.1
21 to 35,Male,7,6,175,3.1,2,5,9,648.8
21 to 35,Male,6,8,121,1.89,1,1,6,649.0
36 to 50,Female,9,2,152,1.52,5,2,9,656.9
21 to 35,Female,6,5,93,3.82,3,3,8,680.7
21 to 35,Female,6,5,248,3.22,3,3,6,663.7
21 to 35,Male,7,10,221,1.77,1,2,4,661.5
51 or more,Female,7,6,136,3.36,1,3,5,609.7
21 to 35,Female,8,1,276,2.07,2,3,8,656.5
21 to 35,Male,8,8,86,3.52,3,4,2,739.5
21 to 35,Female,4,10,74,3.02,5,3,7,657.5
